Добрый день!	¡Buenos días!
- Какая прекрасная фотография!<br>- Это моя семья.	- ¡Qué bonita fotografía!<br>- Es mi familia.
- А это, конечно же, ваша мама? какая молодая и прекрасная женщина!<br>- Да, все так говорят.	- ¿Y esta, seguramente, es su madre? ¡Qué mujer tan joven y bonita!<br>- Sí, todos lo dicen.
- У вас её лицо, её фигура...<br>- Спасебо за комплимент!	- Tiene Ud. su cara, su tipo.<br>- Gracias por el piropo.
- А вот мой отец. Правда, интересный мужчина?<br>- Очень!	- Y este es mi padre. Es un hombre atractivo, ¿verdad?<br>- ¡Mucho!
 - Кстати, у вас есть сестра?<br>- Да, у меня есть сестра и брат.	- Por cierto, ¿Tiene Ud. hermana(s)?<br>- Sí, tengo una hermana y un hermano.
- Ваша сестра замужем?<br>- Да, замужем. Вот её дочь. А брат хенат. Вот его хена, а это их сын.	- ¿Su hermana está casada?<br>- Sí, está casada. Esta es su hija. Y mi hermano está casado. Esta es su esposa, y este el hijo de ellos.
- Чудесные дети.<br>- Да, я их очень люблю.	- Unos niños encantadores.<br>- Sí, yo los quiero mucho.
Семейная фотография	Fotografía familiar
Седьмой урок	Séptima lección
Восьмой урок	Octava lección
Девятый урок	Novena lección
Ты знаешь, мой брат женится	¿Sabes? Mi hermano se casa
- Вот это сюрприз! А кто его невеста?<br>- Ты её знаешь, но попробуй угадать.	- ¡Qué sorpresa! ¿Y quién es su novia?<br>- Tú la conoces, pero intenta adivinarlo.
- Я думаю, это не легко, но я попробую. Какие у неё глаза?<br>- У неё синие глаза.	- Creo que no es fácil pero lo intentaré. ¿Cómo son sus ojos?<br>- Tiene los ojos azules.
- ... и чёрные волосы?<br>- Нет, нет! Она блондинка.	- ... ¿y los cabellos negros?<br>- ¡No, no! Es rubia.
- Она высокая как ты?<br>- Нет, наоборот - она маленькая, но у неё прескасная фигура.	- ¿Es alta, como tú?<br>- No, al contrario, es pequeña pero tiene un tipo precioso.
- Кашется, я её видела у тебя. Её зовут Катя.<br>- Правильно! Катя Иванова. Она тебе нравится?	- Me parece que la vi en tu casa. Se llama Katya.<br>- ¡Así es! Katya Ivanova. ¿Te gusta?
- Главное, что ему нравится.<br>- Как говорят: "На вкус, на цвет, товарищей нет".	- Lo principal es que le guste a él.<br>- Como dicen: "sobre gustos y colores no hay nada escrito" ("no hay compañeros").
Да, это абсолютно верно.	Sí, eso es absolutamente cierto.
- Вадим, привет! Это Лена!<br>- А, Леночка, рад тебя слышать.	- ¡Hola, Vadim! ¡Soy Lena!<br>- A, Lenochka, me alegra oírte.
- Где ты утром? Всё утро я тебе знонила...<br>- Утром я был в университете.	- ¿Dónde estabas por la mañana? Te he estado llamando toda la mañana.<br>- Por la mañana estaba en la universidad.
- Я тебе знонила днём, но убы...<br>- А потом я работал в библиотеке.	- Te llamé por la tarde, pero nada ("¡ay!") ...<br>- Es que después estuve trabajando en la biblioteca.<br>
- Какой ты молодец! А я ничего не делаю. Мне стыдно!<br>- Ну, что ты! У теба каникулы.	- ¡Qué buen chico! Yo, en cambio, no hago nada. ¡Me da vergüenza!<br>- Pero, ¿qué dices? Tienes vacaciones.
- У меня вопрос. Ты вечером свободен?<br>- Конечно! А ты свободна?	- Tengo una pregunta. ¿Estás libre esta noche?<br>- ¡Por supuesto! ¿Y tú estás libre?
- Как птица. И мы идём в кино.<br>- Прескрасная идеа. С удовольствием.	- Como un pájaro, ¿Vamos al cine?<br>- ¡Muy buena idea! Con mucho gusto.
- До встречи у меня.<br>- До скорой встречи. Целую.<br>- Я тебя тоже целую. Пока.	- Nos vemos en mi casa ("hasta el encuentro en mi casa").<br>- Hasta pronto. Un beso.<br>- Un beso también para ti. Hasta luego.
- Ты не работаешь?<br>- Нет, у меня отпуск. 	- ¿No trabajas?<br>- No, tengo vacaciones.
- Добрый вечер, Вадим. Что ты здесь делаешь?<br>- Так, ничего. Гуляю.	- Buenas tardes, Vadim. ¿Qué haces?<br>- Pues nada. Paseo.
О! Какие розы! Мне всё понятно	¡Oh! ¡Qué cosas! Ya lo entiendo todo
- А ты куда идёшь?<br>- У меня свидание, но деловое.	- ¿Y tú adónde vas?<br>- Tengo una cita, pero de trabajo.
- А вот Лена. Позкомьтесь, пожалуйста. Это Игорь.<br>- Лена. Мне очень приятно.	- Ya está aquí Lena. Os presento ("conózcanse, por favor"). Este es Igor.<br>- Lena. Mucho gusto.
Извините, я должен идти.<br>	Perdonad, me tengo que ir.
- А может быть, пойдём в кино.<br>- Спасибо, Вадим. Но у меня Дела. Да и третий лишний.	- Podríamos ir al cine.<br>- Gracias, Vadim, pero tengo que hacer. Además, el tercero sobra.
- Вадим, прости, но мы должны идти.<br>- Идём, идём, Леночка.	- Vadim, perdona pero tenemos que irnos.<br>- Ya vamos, ya vamos, Lenochka. 
- Почему вы такой грустный?<br>- Как вам сказать? Я лишний в моём доме...	- ¿Por qué está tan triste?<br>- ¿Cómo decirle? Sobro en mi casa.
- Не может быть! У вас такая прекрасная семья...<br>- Да, но дело в том, что в моей семье все учатся.	- ¡No puede ser! Tiene Ud. una familia tan encantadora...<br>- Sí, pero el caso es que en mi familia todos estudian.
- Но это же прекасно!<br>- Да, но моя жена учится играть на пианино, дочь весь день играет на скрике, а сын всё время играет на гитаре.	- ¡Pero eso es magnífico!<br>- Sí, por mi mujer aprende a tocar el piano, mi hija toca todo el día el violín y mi hijo toca todo el tiempo la guitarra.
- А что вы делаете в это время?<br>- Я слушаю и страдаю.	- ¿Y qué hace Ud. durante ese tiempo?<br>- Escucho y sufro.
- А почему вы сами не учитесь играть?<br>- Простите, но на чём?<br>- Например, на барабане.	- ¿Y por qué no aprende Ud. mismo a tocar?<br>- Perdone, ¿pero qué?<br>- Por ejemplo, el tambor.
- Я буду им мешать.<br>- Играйте ночью.<br>- Спасибо за совет!	- Los molestaré.<br>- Toque de noche.<br>- ¡Gracias por el consejo!
- Ты пойдёшь в нами гулять?<br>- К сожалению, нет. Мне некогда.	- ¿Vienes con nosotros a pasear?<br>- Por desgracia, no. No tengo tiempo.
- А вечером мы пойдём в театр. Хочешь с нами?<br>- Чочу, но мне никогда.	- Y por la noche iremos al teatro. ¿Quieres venir con nosotros?<br>- Quiero, pero no tengo tiempo.
- А что ты будешь делать вечером?<br>- Вечером я буду работать.	- ¿Y qué vas a hacer por la noche?<br>- Por la noche voy a trabajar.
- Какой ты молодец! Ты весь день работаешь.<br>- Да, утром, днём и вечером я учу русский язык.	- ¡Qué buen chico eres! Trabajas todo el día.<br>- Sí, por la mañana la tarde y la noche estudio ruso.
- Ты едешь в Москву?<br>- Нет, Я еду скоро в Санкт-Петерсбург.	- ¿Vas a Moscú?<br>- No, voy pronto a San Petersburgo.
- А ты будешь там говорить по-русски?<br>- Конечно; русские говорят: "без труда не вынешь рыбку из пруда".	- ¿Y allí hablarás ruso?<br>- Por supuesto; los rusos dicen: "sin trabajo no sacas el pez del estanque".
Успехов тебе!	¡Que tengas éxito!
Я еду в театр на такси а он идёт пешком.	Yo voy al teatro en taxi y él va a pie.
- Здравстбуй, Вадим. Как настроение?<br>- Настроение прекрасное. У меня было свидание.	- Hola, Vadim. ¿Cómo está el ánimo?<br>- El ánimo bien. He tenido una cita.
- Поздравлаяю! У теба всё хорошо?<br>- Да, да, почти всё хорошо.	- ¡Te felicito! ¿Todo te va bien?<br>- Sí, sí, casi todo va bien.
- Прости, как это понимать?<br>- Всё было хорошо напоповину: я пришёл, а она - нет.	- Perdona ¿Qué quieres decir con eso?<br>- Todo ha ido bien a medias: you fui, pero ella no.
- А у меня настроение плохое.<br>- Как так? Ты ведь недавно женился.<br>- Вот именно! Но я всё время думаю, что ей повезло больше, чем мне.	- Yo, en cambio, estoy de mal humor.<br>- ¿Cómo es eso? Si acabas de casarte.<br>- ¡Por eso precisamente! Todo el rato pienso que ella tiene más suerte que yo.
- Куда вы идёте после работы?<br>- Я сразу же еду на машине домой.	- ¿Adónde va después del trabajo?<br>- Voy enseguida a casa en coche.
- А чем вы занимаетесь дома?<br>- О! Дома у меня всегда много работы.	- ¿Y qué hace ("en qué se ocupa") Ud. en casa?<br>- Oh, en casa siempre tengo mucho trabajo.
- А что вы будете делать сегодна?<br>- Сегодня я буду готовить.	- ¿Y qué va a hacer hoy?<br>- Hoy voy a cocinar.
- Вы умеете готовить?<br>- Не только умею, но очень люблю.	- ¿Ud. sabe cocinar?<br>- No solo sé, sino que me gusta mucho.
- А что вы готовите овычно на первое?<br>- Всё, что хотите: борщ, суп, щи.	- Y generalmente ¿qué cocina de primero?<br>- Lo que Ud. quiera: borsch, sopa, schi.
- А но второе?<br>- Котлеты, пельмени и прочее.	- ¿Y de segundo?<br>- Croquetas, pelmeñi, etc. ("y parecidos")
- И какое её блюдо вам нравится больше всего?<br>- Бутерброды.	- ¿Y qué plato le gusta más?<br>- Los bocadillos.
(Желаю вам) приятного аппетита	(Le deseo) buen provecho ("apetito")
- Друзья! Пора за стол.<br>- С удовольствием. Я проголодался.	- ¡A la mesa compañeros!<br>- Con mucho gusto. Me ha entrado hambre.
- Что вы будете есть?<br>- Всё, что вы предложите.	- ¿Qué va Ud. a comer?<br>- Todo lo que recomienden.
- Что вы будете пить? Водку, вино...<br>- И пиво  тоже.	- ¿Qué van a beber? Vodka, vino, ...<br>- Y también cerveza.
- К сожалению, у нас нет пива.<br>- Это неважно. Дайте, пожалуйста, немного воды.	- Por desgracia, no tenemos cerveza.<br>- No importa. Denme, por favor, un poco de agua.
- У нас сколько угодно воды.<br>- Ни и отлично! Вы прескрасно готовите.	- Tenemos cuanta agua quiera.<br>- ¡Eso es excelente! Cocinan Uds. muy bien.
- Хотите немного салата?<br>- Салата я не хочу, а вот грибы попробую.	- ¿Quiere un poco de ensalada?<br>- No quiero ensalada, pero voy a probar estos champiñones.
- Я пью за ваше здоровье.<br>- За нашу встречу.	- Bebo a su salud.<br>- Por nuestro encuentro.
- Аня, Что ты говоришь маме утром?<br>- Утром маме, папе и брату я гоборю: "Доброе утро".	- Anya, ¿qué le dices a mamá por la mañana?<br>- Por la mañana digo "¡Buenos días!" a mamá, a papá y a mi hermano.
- А что ты говоришь днём?<br>- Днём Я говорю: "Доврый день!"	- ¿Y qué les dices durante el día?<br>- Durante el día les digo "¡Buenos días!"
- А вечером?<br>- Вечером я говорю: "Добрый вечер"	- ¿Y por la tarde?<br>- Por la tarde digo "¡Buenas tardes!"
- А что ты говоришь маме, когда ложишься спать?<br>- Когда ложусь спать, я говорю: "Спокойной ночи!"	- ¿Y qué le dices a mamá cuando vas ("te acuestas") a dormir?<br>- Cuando voy a dormir digo: "¡Buenas ("tranquila") noches!"
- Какая ты умница! А что ты скажешь бабушке, есле она даст тебе конфеты?<br>- Я скажу ей: "Дай, пожалуйста, ещё".	- ¡Qué inteligente eres! ¿Y qué vas a decir a la abuela, si te da un caramelo?<br>- Le diré: "Dame más, por favor".
- Аня, ты шутишь?<br>- Конечно, я шучу. Я ей скажу: "Большое спасибо!"	- Anya, ¿bromeas?<br>- Naturalmente, bromeo. Le diré: "¡Muchas gracias!"
- Ты очень хорошая девочка!<br>- Да, это мне все говорят.	- ¡Eres una niña muy buena!<br>- Sí, lo dice todo el mundo.
- Сегодня чудесная погода!<br>- Не знаю, не знаю. Утром было прохладно.	- ¡Hoy hace un tiempo maravilloso!<br>- No sé, nosé. Por la mañana hizo frío.
- Но сейчас на улице телло.<br>- Да, но идёт дождь.	- Pero ahora hace calor en la calle.<br>- Sí, pero llueve.
- Это не страшно. У меня есть прекрасный зонт.<br>- О, зонт, на самом деле, прекрасный. Где вы его купили?	- No es tan terrible. Yo tengo un paraguas precioso.<br>- Oh, el paraguas es, efectivamente, precioso. ¿Dónde lo compró?
- Это подарок. Мне его подарила хена.<br>- Ах, да, я завыла. Вчера у вас был день рождения.	- Es un regalo. Me lo regaló mi mujer.<br>- Ah, sí, lo olvidé. Ayer fue su cumpleaños.
- Да, годы идут!<br>- А сколько вам лет, если не секрет?	- ¡Sí, los años pasan!<br>- ¿Y cuántos años tiene Ud., si no es un secreto?
- Какой там секрет? Мне уже сорок один год.<br>- Да вы ещё юноша!	- ¿Qué secreto? Ya tengo cuarenta y un años.<br>- ¡S es Ud. un mozo todavía!
- Как дела у вашей дочери?<br>- Прекрасно! Она недавно вышла замуж.	- ¿Cómo se va a su hija?<br>- Muy bien. Hace poco se casó.
- Поздравляю! И за кого?<br>- За очень прекрасного молодого человека.	- ¡Felicidades! ¿Y con quién?<br>- Con un joven muy excelente.
- У неё всё хорошо?<br>- Просто замечательно. Он помогает ей готовить, стирать, мыть посуду и ходит в магазин.	- ¿Todo le va bien?<br>- Simplemente fenomenal. Él la ayuda a cocinar, a lavar, a fregar los platos ("la vajilla") y va de compras ("a la tienda").
- Да, ей действительно повезло. А как дела у вашего сына?<br>- Нечего хорошего.	- Sí, ella efectivamente ha tenido suerte. ¿Y cómo le va a su hijo?<br>- Nada bien.
- Да!? А в чём дело?<br>- Ему не повезло. Бедный наш мальчик должен сам всё готовить, стирать, мыть посуду и ходить в магазин.	- ¿Sí? ¿Qué le pasa?<br>- No ha tenido suerte. Nuestro pobre hijo tiene que cocinar, lavar, fregar los platos e ir de compras él mismo.
- У меня есть предложение: давайте перед ужином немного погуляем.<br>- С большим удовольствием! А куда мы пойдём?	- Tengo una propuesta: antes de cenar demos un paseíto.<br>- Con mucho gusto. ¿Y adónde iremos?
- Сначала мы пройдём по Тверской до Пушкинской площади.<br>- Я давно хотел посмотреть памятник Пушкину.	- Primero pasaremos por la calle del Tver hasta la plaza Pushkin.<br>- Hace tiempo que quería ver el monumento de Pushkin.
- Вот и прикрасно! Потом погуляем по Тверскому бульвару.<br>- Говорят, там очень красиво.<br>- Да, это моё любимое место в Москве.	- ¡Magnífico! Después pasearemos por el paseo de Tver.<br>- Dicen que es muy bonito.<br>- Sí, es mi lugar preferido en Moscú.
- А на Арбат мы пойдём?<br>- Конечно, это в двух шагах.	- ¿Vamos a ir también al Arbat?<br>- Por supuesto, está a dos pasos.
- Я давно хотел пойти туда. Там можно купить чудесные сувениры.<br>- Купим сувениры, а заодно и где-нибудь поужинаем.<br>- Прекрасный план! Я готов. Идём.	- Hace mucho que quería ir allá. Pueden comprarse unos regalos maravillosos.<br>- Compraremos regalos, y de paso cenaremos en algún sitio.<br>- ¡Espléndido plan! Estoy listo. Vamos.
- Скажите, пожалуйста, как попасть на Арбат?<br>- О, это очень просто. Если вы спешите, садитесь на троллейбус.	- Dígame, por favor, ¿cómo ir al Arbat?<br>- Oh, es muy fácil. Si tiene prisa, tome el trolebús.
- А где здесь остановка?<br>- В двух шалах, за улгом аптеки.	- ¿Y dónde hay por aquí una parada?<br>- A dos pasos, a la esquina de la farmacia.
- А если я пойду пешком?<br>- Это совсем недалеко. Идите по бульвару прямо.	- ¿Y si voy a pie?<br>- No está nada lejos. Vaya derecho por la avenida.
- Я боюсь заблудиться.<br>- Ну, что вы! Вы прекрасно говорите по-русски, а язык до Киева доведёт.	- Tengo miedo de perderme.<br>- Bueno, ¡qué dice! Ud. habla muy bien el ruso, y "la lengua lleva hasta Kiev".
- Но доведёт ли он меня до Арбата?<br>- Я вас провожу.	- Pero ¿me llevará hasta el Arbat?<br>- Yo lo acompaño.
- Вы очень любезны! Спасибо вам!<br>- Ну, что вы! Это пустяки!	- Es Ud. muy amable. Gracias.<br>- No hay de qué. No es nada.
- Мы почти пришли. Вы не устали?<br>- Нет, нет, я совсем не устал. Такая приятная прогулка!	- Casi hemos llegado. ¿No está Ud. cansado?<br>- No, no, no estoy cansado en absoluto. ¡Qué paseo tan agradable!
- А что это за здание?<br>- Слева театр Маяковского. А справа обратите внимание, прекрасная церковь.	- ¿Y qué edificio es ese?<br>- A la izquierda está el teatro de Mayakovski. A la derecha, fíjese Ud. una iglesia preciosa.
- Давайте подойдём к ней. Какая красота!<br>- В этой церкви венчался Пушкин. Да и жил он недалеко отсюда.	- Acerquémonos a ella. ¡Qué hermosura!<br>- En esta iglesia se casó Pushkin. Y también vivió cerca de aquí.
- Простите, не буду вас больше задерживать.<br>- А я некуда не спешу. По утрам я репетиурю, по вечерам играю в оркестре, я днём гуляю.	- Perdone, no lo entretendré más.<br>- Si yo no tengo prisa. Por las mañanas ensayo, por las noches toco en una orquesta, y de día paseo.
- Мне повезло, что я познакомился с вами.<br>- Мне тоже очень приятно показать вам Москву.	- He tenido suerte en encontrarme con Ud.<br>- A mí también me gusta mucho enseñarle Moscú.
- Сколько дней вы будете в Москве?<br>- Ровно семь дней.	- ¿Cuántos días estará en Moscú?<br>- Siete días justos.
- Неделю? Это прекрасно. Есть время и поработать и посмотреть город.<br>- К сожалению, времени у меня не так много.	- ¿Una semana? Es estupendo. Hay tiempo para trabajar como para ver la ciudad.<br>- Por desgracia, no tengo tanto tiempo.
- А какие у вас планы?<br>- В понедельник у меня встреча в университете. Во вторик я делаю доклад.	- ¿Y qué planes tiene Ud.?<br>- El lunes tengo una cita en la universidad. El martes doy una conferencia.
- А среда, мне кажется, у вас свободный день?<br>- В среду я свободен, а в четверг я вуду на конференции.	- Pero el miércoles me parece que está libre, ¿no?<br>- El miércoles estoy libre, el jueves, en cambio doy una conferencia.
- А в пятницу я могу вас пригласить в гости?<br>- С удовольствием! Только вечером.	- Pero el viernes ¿puedo invitarlo a mi casa?<br>- Con mucho gusto. Pero solo por la tarde.
- Не забывайте, в субботу мы едем в Суздаль.<br>- А в воскресенье я уезжаю в Санкт-Петерсбург.	- No olvide que el sábado vamos a Susdal.<br>- Y yo el domingo me voy a San Petersburgo.
Но в любом слугае мы найдём время посмотреть Москву.	En todo caso hallaremos tiempo para ver Moscú.
- Сто лет мы с вами знакомы, а вы у меня никогда не были.<br>- Да, знаете, всё дела, дела.	- Hace mil ("cien") años que nos conocemos, y Ud. no ha venido nunca a mi casa.<br>- Sí, ya sabe Ud., siempre trabajo, trabajo.
- Русские говорят: все дела не переделаешь. Оставьте всё и приходите к нам вечером.<br>- Как? Прямо сегодна вечером?	- Los rusos dicen: no llegarás jamás a arreglar todas las cosas. Déjelo Ud. todo y venga a vernos esta noche.<br>- ¿Cómo? ¿Esta misma noche?
- А что здесь такого?  Приходите запросто. Хена будет рада.<br>- Боюсь, ей не до меня. Она так много работает.	- ¿Y eso qué tiene de especial? Venga con toda naturalidad. Mi mujer estará contenta.<br>- Me temo que no tendrá tiempo para mí. ¡Trabaja tanto!
- Ничего, ничего. Завтра выходной.<br>- А потом, я знаю вас русских: вудете бегать по магазинам, готовить.	- Nada, nada. Mañana es día libre.<br>Además, conozco a Uds., los rusos: van a ir de compras y luego se ponen a cocinar.
- У нас всё готово. Чем богаты, тем и рады.<br>- Последнюю фразу я не поняла.	- Lo tenemos todo preparado. Cuan ricos, tan contentos.<br>- No he entendido la última frase.
- Так русские говорят, когда хотят сказать, что будет всё просто, по-семейному.<br>- Согласна. А какой ваш адрес?	- Eso dicen los rusos cuando quieren decir que todo será sencillo, familiar.<br>- De acuerdo. ¿Y cuál es su dirección?
- Вот и хорошо. Пишите: улица Волгина, дом 6, квартира 14. А лучше я вас встречу у метро "Беляево".<br>- Я буду ровно в семь.	- Bueno. Escriba Ud.: calle Volguina, edificio 6, piso 14. Pero mejor la espero en la boca de metro "Beliaevo".<br>- Estaré allí a las siete en punto.
- Ровно или чуть-чуть опоздаете?<br>- Нет, нет, я буду мниута в минуту.	- ¿En punto o se retrasa un poco?<br>- No, no, estaré a la hora exacta.
- Мне кажется, вы хили раньше в центре Москвы?<br>- Да, недалеко от Пушкинской площади. Но два года назад мы переехали.	- Me parece que Uds. vivían antes en el centro de Moscú, ¿no?<br>- Sí, cerca de la Plaza de Pushkin. Pero nos trasladamos hace dos años.
- У вас новая квартира?<br>- Да, мы купили квартиру в новом районе, а старую оставили сыну.	- ¿Tienen un piso nuevo?<br>- Sí, compramos un piso en el barrio nuevo, y el antiguo se lo dejamos a nuestro hijo.
- И вам нравится этот новый район?<br>- Конечно, работа рядом, лес в двух шагах, а главное, квартира отличная.	- ¿Y les gusta el barrio nuevo?<br>- Desde luego, el trabajo está al lado, el bosque a dos pasos y, lo más importante, el piso es espléndido.
- А сколько у вас комнат?<br>- Три: столовая, спальна, мой маленький кавинет и вольшая кухня. Нам с женой вполне достаточно.	- ¿Y cuántas habitaciones tienen?<br>- Tres: el comedor, el dormitorio, mi pequeño despacho y una cocina grande. Para mí y mi mujer totalmente suficiente.
- А на каком етаже вы живёте?<br>- На шестом, но я, предьставте поднимаюсь без лифта. Надо быть в форме.	- ¿Y en qué piso viven?<br>- En el sexto, pero figúrese que subo sin ascensor. Hay que estar en forma.
- Кстати, я тоже недавно переехал. Теперь у меня маленькый дом под Парижем.<br>- О! Собьственный дом за городом, моя мечта...	- Por cierto, hace poco yo también me he trasladado. Ahora tengo una casita en los alrededores de París ("bajo París").<br>- ¡Oh! Una casa propia en los alrededores de la ciudad, mi sueño...
- И моя тоже. Я счастлив, что она сбылась.<br>- Я вас поздравлаю.	- Y el mío también. Estoy feliz de que se haya hecho realidad.<br>- Le felicito.
- Дорогая, а что мне надеть?<br>- Надень серый костюм и голубую рубашку.	- Querida, ¿qué me pongo?<br>- Ponte el traje gris y la camisa azul.
- Помоги мне, пожалуйста, выбрать галстук.<br>- Надень вот етот синий в полоску.	- Ayúdame, por favor, a elegir una corbata.<br>- Ponte la azul de rayas.
- А может, этот красный в горошек.<br>- Но он сюда совершенно не идёт.	- O quizá esta roja con lunares.<br>- ¡Pero si esa no pega en absoluto!
- Ты так думаешь? А впрочем, ты, как всегда, правда.<br>- Кстати, туфли возьми чёрные, а не эти коричневые.<br>- Как ты скажешь, дорогая.	- ¿Tú crees? Por otro lado, tienes razón, como siempre.<br>- A propósito, ponte ("coge") los zapatos negros, y no esos marrones.<br>- Como digas, querida.
- Между прочим, в этом году летом будут носить рубашки без пуговиц.<br>- О! Значит, я уже почти десять лет одеваюсь по моде.	- Por cierto, este verano las camisas se llevarán sin botones.<br>- ¡Oh! Eso significa que ya hace diez años que me visto a la moda.
- Вот я и готова. Посмотри на меня.<br>- Ты просто великолепна! Как всегда.	- Bueno, ya estoy lista. Mírame.<br>- ¡Estás simplemente guapísima! Como siempre.
- Почему ты такой грыстный?<br>- Я не грустный, а озбоченный.	- ¿Por qué estás tan triste?<br>- No estoy triste, sino preocupado.
- Что? Есть проблемы?<br>- К счастью, нет, но скоро праздники...	- ¿Qué pasa? ¿Hay problemas?<br>- Por suerte, no, pero pronto serán las fiestas.
- Так это же хорошо, отдохнём.<br>- Да, но подарки! Ты же знаешь, какая у меня семья! Вот и ломаю голову кому что купить.	- Si eso es bueno, descansaremos.<br>- Sí, pero ¡los regalos! No sabes qué familia tengo. Pues ahora estoy rompiéndome la cabeza pensando qué comprar a quién.
- А я ету проблему решли просто.<br>- Прости, а каким образом?	- Yo resolví ese problema muy fácilmente.<br>- Perdona, pero ¿de qué manera?
- Я купил хене очень дорогую посуду.<br>- А почему очень дорогую?	- Le compré a mi mujer una vajilla muy cara.<br>- Pero ¿por qué muy cara?
